clean_review,sentiment
주말 생각 사람 매장 사람 대전 친구 성심당 기본 심플 쫜득 가성비 천국 승천 관광 명소 생각,"[['환영/호의', 0.6545488238334656], ['감동/감탄', 0.7628234624862671], ['기대감', 0.7833344340324402], ['뿌듯함', 0.6043670177459717], ['편안/쾌적', 0.46776440739631653], ['즐거움/신남', 0.9746048450469971], ['행복', 0.8749442100524902], ['기쁨', 0.949734628200531], ['안심/신뢰', 0.46189701557159424]]"
본점 정신 생각 종류 유명 재고 구매 가격 부담 만족,"[['환영/호의', 0.5214742422103882], ['고마움', 0.4110158681869507], ['기대감', 0.7985633015632629], ['뿌듯함', 0.44479256868362427], ['편안/쾌적', 0.5835431814193726], ['없음', 0.4390507936477661], ['기쁨', 0.5359364151954651], ['안심/신뢰', 0.8616706728935242]]"
웨이팅 정도 센스 에어컨 우산 전체 가격 명란 바게트,"[['환영/호의', 0.4426875114440918], ['감동/감탄', 0.4834579825401306], ['기대감', 0.4350501000881195], ['신기함/관심', 0.5052530169487], ['없음', 0.6684971451759338], ['즐거움/신남', 0.5716184377670288], ['깨달음', 0.40180620551109314]]"
건물 외관 냄새 지갑 이번,"[['불평/불만', 0.9196493029594421], ['화남/분노', 0.5758482813835144], ['안타까움/실망', 0.7469359636306763], ['짜증', 0.8830092549324036], ['어이없음', 0.6763337254524231], ['당황/난처', 0.6299133896827698]]"
시간 매장 인산인해 직원 친절 추천 의미 행복 가지 내부 카운터 안내 주말 공휴일 사람 야키소바 브리 치즈 샌드위치 사람 대기 야키소바빵 구경 행복 만족,"[['환영/호의', 0.6000566482543945], ['감동/감탄', 0.7582299709320068], ['고마움', 0.6593124866485596], ['기대감', 0.5231066942214966], ['뿌듯함', 0.5984537601470947], ['즐거움/신남', 0.9607118368148804], ['행복', 0.8693472146987915], ['기쁨', 0.9563378095626831], ['안심/신뢰', 0.493974506855011]]"
성심당 본점 건물 포스 바깥 라인 펜스 롯데월드 매직 아일랜드 대전 구분 입장 지옥 매장 예수턴국 불신지옥 지라시 의문 영감 성심당 정설 출근길 호선 사람 와중 의지 계산대 마이크 안내 질서 정리 도움 사람 행복 사고 매너 새치기 피해 모습 대전 시민 생각 하루 종류 지옥 때문,"[['불평/불만', 0.8771079778671265], ['지긋지긋', 0.4564457833766937], ['화남/분노', 0.8643002510070801], ['안타까움/실망', 0.4613034725189209], ['짜증', 0.9331138730049133], ['어이없음', 0.5221138596534729], ['힘듦/지침', 0.46722644567489624], ['당황/난처', 0.5175068378448486]]"
평일 수요일 오전 당황 가성비 전반 야끼소바,"[['환영/호의', 0.5884053707122803], ['감동/감탄', 0.4051482677459717], ['기대감', 0.8223364949226379], ['뿌듯함', 0.4194137156009674], ['신기함/관심', 0.6090711355209351], ['없음', 0.736682116985321], ['즐거움/신남', 0.726169764995575], ['기쁨', 0.46875086426734924], ['안심/신뢰', 0.40223872661590576]]"
시간 저녁 정도 사실 마감 시간 조기 마감 빵집 마감 직전 판매 감사 성심당 의외 의외 건빵 외부 일정 식사 성심당 기본 종류 건빵 고로케 내부 이것저것 채식 베지테리언 버전 마음 구매시 주차 가능,"[['환영/호의', 0.5896686911582947], ['고마움', 0.4654737710952759], ['기대감', 0.7284399271011353], ['편안/쾌적', 0.4153729975223541], ['즐거움/신남', 0.8247009515762329], ['행복', 0.5353938937187195], ['기쁨', 0.8245406150817871], ['안심/신뢰', 0.6294758915901184]]"
가족 생일 케잌 방문 대전 성심당 케잌 치즈케이크,"[['없음', 0.6021322011947632], ['즐거움/신남', 0.7137284874916077], ['행복', 0.6755791306495667], ['기쁨', 0.7331928014755249]]"
종류 다양 가격 사람 용서,"[['환영/호의', 0.5567956566810608], ['감동/감탄', 0.6829174160957336], ['기대감', 0.7848769426345825], ['신기함/관심', 0.7500017881393433], ['없음', 0.4526141583919525], ['즐거움/신남', 0.7217584252357483], ['깨달음', 0.4544902443885803], ['기쁨', 0.556596040725708]]"
기업 기업 죄책감,"[['기대감', 0.5344563722610474], ['우쭐댐/무시함', 0.4893043339252472], ['비장함', 0.4208236634731293], ['어이없음', 0.4036332368850708], ['없음', 0.5613072514533997]]"
월요일 오전 기준 웨이팅 방문 정도 웨이팅 시간 준비 소보로 개인 고구마 먹물 방망이 추천,"[['기대감', 0.6521449089050293], ['우쭐댐/무시함', 0.4152067005634308], ['없음', 0.8491878509521484]]"
사람,"[['없음', 0.7831407189369202]]"
메아리 본점 비밀 아묻따 메아리 필수 명란 바게트 최고 도리 정복 성공 김치 주먹밥 대전 역점 재고,"[['환영/호의', 0.6851688027381897], ['감동/감탄', 0.7211366295814514], ['기대감', 0.8837069869041443], ['뿌듯함', 0.44793668389320374], ['신기함/관심', 0.668449878692627], ['없음', 0.6244186162948608], ['즐거움/신남', 0.7475371360778809], ['기쁨', 0.4608059823513031], ['안심/신뢰', 0.48068153858184814]]"
가성비 페스츄리 샌드위치 만족 사람,"[['환영/호의', 0.7392996549606323], ['감동/감탄', 0.6870850920677185], ['기대감', 0.7645873427391052], ['뿌듯함', 0.6134358644485474], ['편안/쾌적', 0.5375611186027527], ['즐거움/신남', 0.8950287103652954], ['행복', 0.7247682213783264], ['기쁨', 0.8710337281227112], ['안심/신뢰', 0.6650702953338623]]"
주말 사람 생각 정도 통유리 신뢰 순서 구매 자율 결제 장점 재고 부족 리필 때문 회전 사람 단점 사람 구매 결제 조금 주차 골목 공원 주차장 성심당 전용 주차장 현대 주차장 방문,"[['기대감', 0.55966717004776], ['없음', 0.8760063648223877], ['깨달음', 0.41458860039711], ['안심/신뢰', 0.4984131455421448]]"
성심당 주말 공휴일 정도 웨이팅 생각,"[['기대감', 0.5887848138809204], ['없음', 0.7009993195533752], ['즐거움/신남', 0.4456133544445038]]"
가격 재미 성심당 기부 소비 기분 사람 구경 재미,"[['환영/호의', 0.4271927773952484], ['기대감', 0.8459665179252625], ['신기함/관심', 0.4876101613044739], ['즐거움/신남', 0.9587210416793823], ['기쁨', 0.6826508641242981]]"
서울 성심당 기차타고 방문 성심당 본점 웨이팅 내부 가격 초코튀김소,"[['환영/호의', 0.40041956305503845], ['감동/감탄', 0.5286816954612732], ['기대감', 0.5127061009407043], ['신기함/관심', 0.5647204518318176], ['없음', 0.6885102391242981], ['즐거움/신남', 0.7019915580749512], ['기쁨', 0.5102609395980835]]"
대전 성심당 성심당 골목 삼성 타운 저리가라 압도 느낌 가성비 케익 튀김소보로 팥소 달앟음 고구마 유명 부추 나머지,"[['환영/호의', 0.7887176275253296], ['감동/감탄', 0.9618736505508423], ['기대감', 0.8194626569747925], ['뿌듯함', 0.6284704804420471], ['신기함/관심', 0.7435371279716492], ['즐거움/신남', 0.8586750030517578], ['행복', 0.48651644587516785], ['기쁨', 0.7867533564567566], ['안심/신뢰', 0.6812317371368408]]"
성심당 대전 관문 대전 대전 지역 체인 출점 대전 자존심 대전 첫인상 성심당 대전 사람 자부심,"[['환영/호의', 0.8258900046348572], ['감동/감탄', 0.828482985496521], ['존경', 0.5673858523368835], ['기대감', 0.7859189510345459], ['뿌듯함', 0.5409455299377441], ['신기함/관심', 0.5538639426231384], ['아껴주는', 0.49355679750442505], ['없음', 0.5346452593803406], ['즐거움/신남', 0.6030262112617493], ['행복', 0.47165587544441223], ['기쁨', 0.5879862308502197], ['안심/신뢰', 0.694613516330719]]"
주말 아침 대기 튀김소보로,"[['기대감', 0.7698790431022644], ['없음', 0.5462471842765808], ['즐거움/신남', 0.7013533711433411]]"
전투 처음,"[['기대감', 0.4563857316970825], ['없음', 0.773134171962738]]"
본점 방문 사람 대기 관리 직원 줄얶 주말 기준 정도 대기 입장 가능 가격,"[['기대감', 0.4947134256362915], ['없음', 0.8014472126960754], ['안심/신뢰', 0.4785313010215759]]"
평일 웨이팅 종류 키친 빙수 음식,"[['없음', 0.8321679830551147]]"
무화과 크림,"[['신기함/관심', 0.5448240637779236], ['없음', 0.8920822739601135], ['즐거움/신남', 0.5806237459182739]]"
혜자 가격 이유,"[['환영/호의', 0.5770130753517151], ['감동/감탄', 0.6488118767738342], ['기대감', 0.6880107522010803], ['뿌듯함', 0.6089516282081604], ['신기함/관심', 0.45272985100746155], ['없음', 0.5590769648551941], ['즐거움/신남', 0.6440600752830505], ['깨달음', 0.5157549381256104], ['기쁨', 0.5519640445709229], ['안심/신뢰', 0.7260433435440063]]"
대전 성심당 성심당 대전 대전 여행 추가 유명 이유,"[['환영/호의', 0.5524929761886597], ['감동/감탄', 0.45688560605049133], ['기대감', 0.7903929352760315], ['뿌듯함', 0.46242985129356384], ['신기함/관심', 0.5224049091339111], ['없음', 0.6224671602249146], ['즐거움/신남', 0.8982807397842407], ['행복', 0.6320167779922485], ['기쁨', 0.7570957541465759]]"
성심당 주차장 유료 주차장 이용 무료 주차장 확인,"[['기대감', 0.4096090793609619], ['없음', 0.9125597476959229]]"
가격 오픈 빵집 웨이팅 부띠크 사진 사진 웨이팅 난리,"[['짜증', 0.4580913782119751], ['어이없음', 0.6395254135131836], ['없음', 0.7435948252677917], ['당황/난처', 0.6109404563903809]]"
소보로 잠봉뵈르 바게트 사진 김치 치즈 주먹밥 에프 부추 에그마요 때문 명란 바게트 본점 웨이팅 전설 팥빙수 딸기 빙수 패션후르츠에이드 오므라이스 치킨 까스 오므라이스,"[['기대감', 0.44048529863357544], ['신기함/관심', 0.5074257850646973], ['없음', 0.8637204170227051], ['즐거움/신남', 0.5564343333244324]]"
성심당 시간 도착 주변 길거리 사람 성심당 가방 전체 다음 방문 예정 성심당 인기 이유,"[['환영/호의', 0.7896212935447693], ['감동/감탄', 0.6403009295463562], ['기대감', 0.9333920478820801], ['신기함/관심', 0.7322789430618286], ['없음', 0.4453881084918976], ['즐거움/신남', 0.7713366746902466], ['행복', 0.46447768807411194], ['기쁨', 0.6488443613052368], ['안심/신뢰', 0.5222956538200378]]"
입구 웨이팅 생각 베이커리 직원 케어 친절 성심당 성심당,"[['환영/호의', 0.7642744183540344], ['감동/감탄', 0.7498413324356079], ['고마움', 0.8362498879432678], ['기대감', 0.5500823259353638], ['뿌듯함', 0.5527786016464233], ['편안/쾌적', 0.43898841738700867], ['즐거움/신남', 0.6540074348449707], ['행복', 0.6712678074836731], ['기쁨', 0.8567504286766052], ['안심/신뢰', 0.8246656656265259]]"
사람 너어어어무 부띠끄 명란 바게트 품절,"[['환영/호의', 0.5528448820114136], ['감동/감탄', 0.7566436529159546], ['기대감', 0.6193743944168091], ['뿌듯함', 0.4678771197795868], ['신기함/관심', 0.5698316097259521], ['즐거움/신남', 0.8974692225456238], ['행복', 0.7404953241348267], ['기쁨', 0.8530915379524231]]"
대전 자랑 후회 여름 양산 배치 머리 품절 이어 리필 보문산 메아리 개개 페스츄리 소금 타이거 브레드 선두 주자 크림치즈 낭낭,"[['환영/호의', 0.7296231985092163], ['감동/감탄', 0.853761613368988], ['기대감', 0.6859952211380005], ['뿌듯함', 0.5959035158157349], ['신기함/관심', 0.5747601985931396], ['즐거움/신남', 0.9299302697181702], ['행복', 0.7572161555290222], ['기쁨', 0.8733730912208557], ['안심/신뢰', 0.4562990963459015]]"
모해 성심당 주말 오전,"[['없음', 0.8257178664207458]]"
대한민국 빵집 정도 보통,"[['우쭐댐/무시함', 0.4671969413757324], ['없음', 0.8617830276489258], ['깨달음', 0.4964684545993805]]"
전쟁 평균 이상 가성비,"[['환영/호의', 0.6184873580932617], ['감동/감탄', 0.6791707277297974], ['기대감', 0.7833951115608215], ['우쭐댐/무시함', 0.5014296770095825], ['뿌듯함', 0.47908085584640503], ['신기함/관심', 0.5816702246665955], ['없음', 0.7023359537124634], ['깨달음', 0.7052226066589355], ['안심/신뢰', 0.6672595739364624]]"
주말 사람 고민 시간 사고 구조 부추 튀소 베스트 메뉴 이유,"[['환영/호의', 0.41858628392219543], ['기대감', 0.762528657913208], ['비장함', 0.5170707702636719], ['없음', 0.5486302375793457], ['깨달음', 0.4526645839214325], ['안심/신뢰', 0.4345463514328003]]"
웨이팅 애플 샌드위치 가격 합리,"[['환영/호의', 0.4871700704097748], ['감동/감탄', 0.5540115237236023], ['기대감', 0.6355089545249939], ['신기함/관심', 0.44972118735313416], ['없음', 0.5201980471611023], ['즐거움/신남', 0.5689885020256042], ['기쁨', 0.43671777844429016], ['안심/신뢰', 0.43320232629776]]"
가성비 대박 빵집 대전 동네 생각,"[['환영/호의', 0.7554795742034912], ['감동/감탄', 0.9213238954544067], ['고마움', 0.40891602635383606], ['기대감', 0.7818332314491272], ['뿌듯함', 0.6766393780708313], ['편안/쾌적', 0.4477085769176483], ['신기함/관심', 0.5473110675811768], ['즐거움/신남', 0.9621348977088928], ['행복', 0.853671669960022], ['기쁨', 0.9494614601135254], ['안심/신뢰', 0.6333878040313721]]"
대전 성심당 가격 근처 사람 구매,"[['환영/호의', 0.5248903632164001], ['기대감', 0.7190423011779785], ['신기함/관심', 0.626606285572052], ['없음', 0.8895325660705566], ['즐거움/신남', 0.48378950357437134]]"
대전 방문 성심당 주말 아침 방문 웨이팅 전반 튀김소보,"[['기대감', 0.40968361496925354], ['없음', 0.6268935203552246], ['즐거움/신남', 0.6368027925491333], ['기쁨', 0.48918643593788147]]"
대전 성심당 성심당 초코 소라빵,"[['기대감', 0.42642852663993835], ['없음', 0.8005315065383911], ['즐거움/신남', 0.7482649087905884], ['행복', 0.4974025785923004], ['기쁨', 0.5526505708694458]]"
주말 웨이팅 여름 웨이팅 가성비,"[['환영/호의', 0.5508675575256348], ['감동/감탄', 0.5261567234992981], ['기대감', 0.7963379621505737], ['뿌듯함', 0.5110108256340027], ['즐거움/신남', 0.9212968945503235], ['행복', 0.6217281818389893], ['기쁨', 0.7740804553031921]]"
와중 질서 구매 가격,"[['기대감', 0.791000247001648], ['신기함/관심', 0.4326798915863037], ['없음', 0.7388876676559448]]"
가격,"[['기대감', 0.6110686659812927], ['신기함/관심', 0.5030653476715088], ['없음', 0.7541237473487854]]"
주말 아침 정도 사람 잠봉뵈르 꿀맛,"[['감동/감탄', 0.45663997530937195], ['기대감', 0.5464344620704651], ['뿌듯함', 0.44793444871902466], ['즐거움/신남', 0.9716207385063171], ['행복', 0.82351154088974], ['기쁨', 0.919470489025116]]"
사람 명란 바게트,"[['신기함/관심', 0.6734063029289246], ['없음', 0.8203396797180176], ['놀람', 0.4562221169471741]]"
대전 웨이팅 만족 성심당,"[['환영/호의', 0.5269481539726257], ['감동/감탄', 0.6597064137458801], ['고마움', 0.5397390127182007], ['뿌듯함', 0.5701900124549866], ['편안/쾌적', 0.45482999086380005], ['즐거움/신남', 0.9516309499740601], ['행복', 0.880675733089447], ['기쁨', 0.9591052532196045], ['안심/신뢰', 0.4948718845844269]]"
대전 본점 다양 사람 롯백 백화점 본점 사람 때뭉에용,"[['불평/불만', 0.7263200283050537], ['안타까움/실망', 0.44649600982666016], ['짜증', 0.7673159241676331], ['어이없음', 0.6472030282020569], ['없음', 0.6370033025741577], ['당황/난처', 0.4527769684791565]]"
성심당 가격 요즘 물가,"[['의심/불신', 0.41654258966445923], ['신기함/관심', 0.4490327835083008], ['어이없음', 0.49918878078460693], ['없음', 0.6586334109306335], ['깨달음', 0.4302257001399994], ['당황/난처', 0.509799063205719], ['놀람', 0.4462273418903351], ['불안/걱정', 0.4129795432090759]]"
오픈 자제 정도,"[['불평/불만', 0.41705188155174255], ['안타까움/실망', 0.4041658639907837], ['없음', 0.8196179866790771], ['귀찮음', 0.455349862575531], ['부담/안_내킴', 0.4214147627353668]]"
대한민국 빵집 성심당 소보 단팥,"[['환영/호의', 0.5947450399398804], ['감동/감탄', 0.5785401463508606], ['기대감', 0.670491099357605], ['신기함/관심', 0.44606560468673706], ['없음', 0.811376690864563], ['즐거움/신남', 0.5367312431335449], ['기쁨', 0.43053749203681946]]"
성심당 가성비,"[['환영/호의', 0.6487689018249512], ['감동/감탄', 0.533832311630249], ['기대감', 0.6821860074996948], ['뿌듯함', 0.5174920558929443], ['신기함/관심', 0.5488003492355347], ['없음', 0.7373970150947571], ['즐거움/신남', 0.6983183026313782], ['기쁨', 0.5513849258422852], ['안심/신뢰', 0.5442468523979187]]"
주말 오후 생각 대기 개인 튀김소보로와 애플브리 치즈,"[['환영/호의', 0.5118452906608582], ['기대감', 0.8333906531333923], ['없음', 0.5612838864326477], ['즐거움/신남', 0.8476026058197021], ['행복', 0.5624255537986755], ['기쁨', 0.6418564319610596]]"
대전 성심당 시작 성심당 대전 명성 종류 가격 프랜차이즈 빵집 가격 혜자 성심당 튀소 고로케 크림 베이직 보문산 메아리 보문산 메아리,"[['환영/호의', 0.7270849943161011], ['감동/감탄', 0.769741952419281], ['기대감', 0.7053685784339905], ['뿌듯함', 0.6071782112121582], ['신기함/관심', 0.5640665292739868], ['없음', 0.49138566851615906], ['즐거움/신남', 0.8569647669792175], ['행복', 0.6156410574913025], ['기쁨', 0.798836886882782], ['안심/신뢰', 0.6188091039657593]]"
기대 이상 상상 소보루 생각 보루 부분 요즘 물가 가격 사람 너어어어어무 웨이팅 필수 계산 명란 바게뜨 품절 주문 사람 오바 생각 방문 추천,"[['환영/호의', 0.733989953994751], ['감동/감탄', 0.7154614329338074], ['기대감', 0.9710111618041992], ['신기함/관심', 0.7937853336334229], ['즐거움/신남', 0.901681661605835], ['행복', 0.4633665382862091], ['기쁨', 0.7172533273696899]]"
두말 필요 전국 빵집 유명 성심당 개인 추천 튀김소보로 고구마 튀김소보로 기본 소개 브리 치즈 샌드위치 강력 추천 바게트 명란 바게트 짠맛 소금 가성비 부추 계란 딸기튀소 대조 웨이팅 회전 때문,"[['환영/호의', 0.8066986799240112], ['감동/감탄', 0.7043361663818359], ['기대감', 0.8770781755447388], ['뿌듯함', 0.546126663684845], ['신기함/관심', 0.5876722931861877], ['즐거움/신남', 0.8855556845664978], ['행복', 0.560310959815979], ['기쁨', 0.7892574667930603], ['안심/신뢰', 0.6237346529960632]]"
공영 주차장 주차 가능 이상 구매 주차 제공 정신 직원 와중 친절 가격 전체 만족 명란 바게뜨 크림 소금 김치 삼각 주먹밥 추천,"[['환영/호의', 0.7765613198280334], ['감동/감탄', 0.5488787293434143], ['고마움', 0.6163480281829834], ['기대감', 0.7345318794250488], ['뿌듯함', 0.5384699702262878], ['편안/쾌적', 0.5015491843223572], ['즐거움/신남', 0.6634073257446289], ['행복', 0.5253556966781616], ['기쁨', 0.8083895444869995], ['안심/신뢰', 0.855720043182373]]"
대전 명물 성심당 유명 튀김 소보 부추 이외 샌드위치 이것저것 가성비 가격 반미 샌드위치 명란 바게트 추천 계산 가격 대전 방문 빵집,"[['환영/호의', 0.7267938256263733], ['감동/감탄', 0.5446146726608276], ['기대감', 0.7812377214431763], ['뿌듯함', 0.46326300501823425], ['신기함/관심', 0.6792404055595398], ['없음', 0.7048994302749634], ['즐거움/신남', 0.7216118574142456], ['기쁨', 0.555880606174469], ['안심/신뢰', 0.5568926930427551]]"
대전 자체 성심당 방문 대전 사람 성심당 튀김 보루 때문 초코튀소 튀소 부추빵 고구마튀소 튀소 외의 방문 튀소 종류 사람 명성 가격 경우 성심당 명성 가격 구매 정도 거리 공원 시간 무료 주차 가능 때문 최대 가성비 생각 무료 주차 성심당 이상 구매 카운터 요청 가격 기대 포장 대전 성심당 유명 물건 성심당 통용 가격 상타치 다음 대전 방문 의사,"[['환영/호의', 0.642983615398407], ['기대감', 0.9064866304397583], ['신기함/관심', 0.4526922404766083], ['없음', 0.6212719082832336], ['즐거움/신남', 0.587568461894989], ['기쁨', 0.48517870903015137], ['안심/신뢰', 0.5012234449386597]]"
성심당 빵집 제일 가격 넘사벽 빵집 재료 가격 대부분 이상 성심당 때문 대전 빵집 퀄리티 가격 이번 샌드위치 브리 치즈 샌드위치 재료 비주얼 최고 남자친구 자체 크기 사과 때문 이삭 토스트 퀄리티 고급 튀소구마 합격 찹쌀 도넛 시장 찹쌀 도넛 파리 바게트 비교 파리 바게트 무늬 느낌 비율 느낌 마싯서 성심당 실패 시도 취향 생활 크림 크림 땅꼬마크로와상도 단종 명란 바게트 명란 생각,"[['환영/호의', 0.8354150652885437], ['감동/감탄', 0.9526204466819763], ['존경', 0.42213815450668335], ['기대감', 0.8568031787872314], ['뿌듯함', 0.6031619906425476], ['신기함/관심', 0.6262072920799255], ['즐거움/신남', 0.8401800394058228], ['행복', 0.49899613857269287], ['기쁨', 0.7829890251159668], ['안심/신뢰', 0.7209236025810242]]"
대전 성심당 본점 웨이팅 생각 예상외 사람 내부 종류 가지 돌이 기분 고민 대표 튀김소보로 객관 기름 추천 새우고로케 아이 불편 블랙까망베르 내부 치즈,"[['불평/불만', 0.7030789852142334], ['안타까움/실망', 0.675972580909729], ['짜증', 0.5481075048446655], ['없음', 0.40122950077056885], ['귀찮음', 0.4757675528526306], ['당황/난처', 0.8118211627006531], ['부담/안_내킴', 0.45497599244117737]]"
대전 유명 빵집 성심당 성심당 튀김소보로 일반 튀김소보로 이외 종류 다양 이번 처음 이름 다음 포장 개인 부추 호불호 성심당 고구마 튀김 소보 추천 다음 고구마튀김소보로,"[['환영/호의', 0.5827323198318481], ['기대감', 0.8311565518379211], ['신기함/관심', 0.5988136529922485], ['없음', 0.8452826738357544], ['즐거움/신남', 0.44591224193573], ['안심/신뢰', 0.4626886546611786]]"
성심당 지역 유명 빵집 비교 메뉴 명문 제과 코롬방제 이성당 시그니처 메뉴 나머지 메뉴 서브 느낌 시그니처 메뉴 성심당 시그니처메뉴 튀김소보루 튀김 보루 명란 바게트 나비파 각종 샌드위치 성심당,"[['환영/호의', 0.4025338292121887], ['기대감', 0.5517147779464722], ['신기함/관심', 0.4694801867008209], ['없음', 0.9082748889923096]]"
대전 연고 친정엄마 성심당 어머니 조건 퉈김소보루 만큼 이제 기업 은행동 빵집 부티크 선물 매장 이상 주문 주차 무료 토요일 오후 주차장 주차장 입구 과정 가격 구성 샌드위치 종류 일반 프렌차이즈 매장 크기 내용물 자체 튀김소보루 명란 바게트 부추 종류 아이 브리 치즈 샌드위치 사과 살구 단맛 불낙 고로케 별미 소시지 토핑 사라다 전반 만족,"[['환영/호의', 0.6474796533584595], ['감동/감탄', 0.5954780578613281], ['고마움', 0.4143447279930115], ['기대감', 0.7663403749465942], ['뿌듯함', 0.580887496471405], ['편안/쾌적', 0.5246505737304688], ['즐거움/신남', 0.8957863450050354], ['행복', 0.716031551361084], ['기쁨', 0.8958537578582764], ['안심/신뢰', 0.7030102610588074]]"
대전 명물 성심당 성심당 시식 요즘 마스크 착용 필수 시기 시식 부추 부추 고기 조화 정도 명란 바게트 명란 음식 명란 명란 주장 명란,"[['기대감', 0.562714159488678], ['우쭐댐/무시함', 0.43771374225616455], ['신기함/관심', 0.5308098196983337], ['없음', 0.8838534355163574], ['즐거움/신남', 0.582759439945221]]"
대전 성심당 유명 부추빵 튀김소보로 크로와상 초코크로와 가운데 기억 매장 규모 공장 직원 계산 속도 구매 가능 크로와 튀김소보로 부추 만두 구지 만두 전체 실망,"[['불평/불만', 0.9548001885414124], ['안타까움/실망', 0.9676459431648254], ['짜증', 0.5123618245124817]]"
