date,score,review
2025.01.10.,5.0,"가성비가 너무 좋아서 가성비만 좋겠지 싶었는데 하나하나 맛도 너무 맛있었습니다.성심순크림빵 너무 촉촉하게 맛있었고 튀소는 많이 먹어봐서 딸기,초코튀소, 튀소구마 먹어봤는데 딸기튀소도 맛있었어요.가운데 컵케이크 같은거는 케이크부띠끄에서 딸기시루 먹어보고싶은데 양이 너무 많아서 저걸로 샀어요. 맛있었는데 딸기시루랑 비슷할지는 모르겠네요."
2025.01.09.,5.0,
2025.01.08.,5.0,
2025.01.08.,5.0,
2025.01.06.,3.0,"마싯음. 야끼소바빵 튀소 떠먹는딸기? 기억에 남게 맛잇엇음. 명란바게트, 먹물연유빵은 명성에 비해 ㅂㄹ그치만 왤케 인기가 많은지는 이해가 안된당금요일 저녁시간엔 웨이팅 없이 들어가서 먹엇지만 (물론 가게 내부는 미어터짐. 따로먹으라고 준비된장소는 한적)다음날 빵사서 가려고 토요일 점심시간에 가니깐 웨이팅이 가게를 둘러싸고 세줄 잇어서 바로 포기햇다싸고 맛잇는건 인정이당"
2025.01.05.,5.0,맛도 있고 주차도 편하고 다 좋은데 주말이나 금요일 오후에는 절대 방문하지 마세요.. 웨이팅 줄이 어마무시 합니다. 평일 오전 방문을 강력 추천 드립니다.
2025.01.05.,5.0,평일 방문 강추 무조건 일찍 가셔야 됨
2025.01.05.,5.0,
2025.01.04.,5.0,
2025.01.04.,4.0,⭐️4.5/5.0아무리 또심당 또심당이라 해도.... 맛있고 가격 착한데 마다할 이유가 없다!
2025.01.03.,5.0,
2025.01.03.,4.0,오전에 갔는데 사람 정말 많았음. 내부에선 줄을 안 서는데 사람이 넘 많아서 빵 보고 고르려면 줄을 설 수 밖에 없어짐ㅋ.. 직원분은 줄 서지마시라 하는데 불가항력이었네요~ 계산대는 진짜 줄이 없긴 했어요. 빵은 엄청 저렴하진 않았는데 같은 가격의 다른 지역 빵에 비하면 맛이 좋더라고요. 다른 지역 보통 빵은 [가격 보통. 맛 없음.] 이라면 심당 빵은 [가격 보통. 맛 좋음.] 이정도 느낌
2025.01.03.,5.0,성심당 유명한 이유가 있네요모든 빵을 먹어보진 않았지만 고른 것마다 다 맛잇었네요또 갈 의향 있습니다 추천~~~
2025.01.02.,3.0,진짜 넘 맜있넹...계속 갈 마음 10×21정도??♡
2025.01.02.,5.0,"말이필요없죠. 유명한이유가 있습니다, 우리들주차장 에 주차하시고 본점 가기전에  횡단보도 건너서 케잌파는 부띠끄도 가보셔요.  가격은 좀 있어요 케잌은. 좋음!"
2025.01.02.,5.0,솔직히 가격 엄청착하고 완전맛있고ㅠㅠ거품이 아닌 정말 이름값 하는 곳
2025.01.01.,1.0,주차가 무료가 안되네요
2024.12.30.,5.0,
2024.12.29.,4.0,포장해서 먹었는데 식어도 맛있네요 부추빵은 비추 넘 심심하고 풋내나서 먹다버렸고 소보로랑 크루와상 맛나요 명란바게트도 짭짤하니 맛있네요사기전에 대기가 길었어요 고를때도 후다닥!! 이용방법. 숙지하시고 가세요 미리 뭐살지 적어가세요 줄서서 들어가는거라 후다닥 골라야해요 놓치면 뒤로 가기 불가하니 신중하세요 ㅋㅋ
2024.12.29.,5.0,가성비 좋고 맛 좋고 재료가 신선하고 소화 잘되고..가끔씩 가는데 집에서 왕복 4시간 거리지만 시간이 절대로 아깝지 않음..간김에근처에서 생선국수 먹고 장태산 한바퀴 돌면 딱 좋음^^
2024.12.27.,4.0,
2024.12.26.,5.0,"장점: 직원 분들이 친절하심, 가성비, 빠른 회전율단점: 인기가 많은 빵은 보기도 힘듦성심당 사랑해"
2024.12.25.,5.0,너무너무너무 맛있어요들어가는데 시간 오래 걸리는것도 아니고 줄도 안밀리게 할려고 계산 하는 곳도 많고빵도 가격 저렴하고 맛있어요 ㅠ 특히 명란바게트 미쳤어용..
2024.12.25.,5.0,
2024.12.25.,5.0,
2024.12.25.,5.0,정말 가성비 좋고 맛있는데 너무 유명해짐 ㅠㅠ우리 성심당 그 정도 아닙니다..
2024.12.25.,5.0,평일인데도 길게 늘어진 줄에 당황했으나 금방 들어갈 수 있었음. 따로 줄이 없다고 계속 안내방송 해주셔서 원하는 빵을 담기위해 돌아다님. 그치만 사람이 너무 많아서 치이는 건 어쩔 수 없는 듯.. 빵을 계속 굽고 계셔서 오전이 아니라도 갓 구운 빵을 먹을 수 있다는 장점이 있음. 계산대도 많아서 빨리 계산하고 나올 수 있음. 본점이지만 내부가 엄청 넓진 않으므로 미리 구매할 빵을 정해두고 가면 효율적일듯
2024.12.24.,5.0,주먹밥도 의외로 맛있어요김볶밥 눌은 부분맛 모아서 주먹밥 만든 느낌기름지지만 끼니때우기좋았음
2024.12.23.,5.0,
2024.12.23.,5.0,
2024.12.23.,5.0,잘 사고 감~
2024.12.23.,5.0,원픽은 블루쇼콜라
2024.12.22.,5.0,좋은 마음으로 지속하는 곳은 계속 잘되면 좋겠습니다.
2024.12.20.,5.0,
2024.12.20.,5.0,담에함가볼게요
2024.12.19.,4.0,
2024.12.18.,5.0,넘 좋아요
2024.12.18.,4.0,
2024.12.18.,5.0,직원들이 정말 프로페셔널한 것이 느껴진다.
2024.12.18.,4.0,응 명불허전이지요
2024.12.18.,2.0,여기서 파는 것은 음식이라기보다는 굿즈에 가깝다. 튀김소보로는 과하고 자극적이라 어린아이들이나 좋아할 음식이다. 갓 튀긴 것은 맛있다고들 하는데 갓 구운 빵이 맛이 없으면 그건 그거대로 문제 아닌가. 부추빵은 폭신한 우유빵이라 속재료랑 어울리지도 않는다. 가성비가 좋다고들 하나 대전이 아직 붕어빵 네 마리를 천 원에 파는 동네일 뿐이다.
2024.12.17.,5.0,먹을 수 있는 카페는 맞은편 골목.약과파는 골목에ㅋ
2024.12.17.,5.0,말이필요없는 맛 . 담백하고 고소한 생크림. 촉촉한 빵. 튀소말고도 맛있는빵이 너무많아요.
2024.12.17.,4.0,사랑해요 성심당근데 별 4개준건 줄이 너무 김..
2024.12.17.,5.0,
2024.12.16.,5.0,
2024.12.14.,5.0,사랑합니다
2024.12.11.,5.0,맛있어요 가성비도 좋구 요즘은 줄 오래 안 서서 좋아요
2024.12.10.,4.0,"가성비 최고의 빵집, 많은 종류의 빵, 시루는 무화과는 좋은데, 귤 시루는 조금... 그런데 사람이 넘 많아서 20분 대기시간은 기본"
2024.12.08.,3.0,"뭐랄까 대전에 본가가 있는 사람으로서, 자랑스럽지만 막 2 시간 기달려서 먹는건 글쎄.맛이야 있지만, 굳이?"
2024.12.07.,5.0,항상 애용하는 대전의 자랑.
2024.12.05.,5.0,"빵의 즐거움을 만끽할 수 있는 곳.가격, 다양성, 맛 모두 감사할따름"
2024.12.01.,5.0,가성비 최고 ♥근데 동선이… 좀 이상한 것 같아요……
2024.11.30.,5.0,
2024.11.30.,5.0,맛도 맛이지만 가성비가 남다름. 최고
2024.11.29.,5.0,빵순이라 어딜 가나 빵집은 꼭 들리는데 사온 빵이 다 맛있었습니다!
2024.11.28.,5.0,
2024.11.26.,5.0,빵사러 왕복 5시간.두번째 감.나는 빵 안좋아 함.근데도 1년에 한번은 무조건 가는 곳.가족들 의견 추합해서 대충 4~50만 어치 사면 넉넉하게 먹음.나보다 아내가 더 좋아함.아내를 더 좋아하는 나는 올해도 성심당에 감.
2024.11.25.,5.0,
2024.11.24.,4.0,
2024.11.24.,5.0,최고
2024.11.23.,5.0,🤫
2024.11.22.,5.0,대전의 자랑이라고하니 그냥5점 줌퀸아망3300원굿! / 떠알밤9000원X 1인2개만 허용할정도로 인기라니 이해불가+밥한끼값 / 야채고로케X 기름이 너무 많아 냅킨몇장 다 젖음. 후렌치파이 굿!!아 이 맛있고 큰게 2000원이라니 / 월넛브레드 굿. 이 큰게 4000원이라니
2024.11.21.,4.0,다른 빵집들 반성하셔야…
2024.11.21.,5.0,
2024.11.20.,5.0,"대전 갈때마다 꼭 방문하는 맛집 !!가격들도 너무 착하고 빵도 너무나 맛있어요 👍👍-강추메뉴💓고구마소보루,아몬드 크로와상-추천메뉴토요빵(쫀득쫀득한 식감이 맛있어요!),먹물방망이(크림치즈와 달달한 조합 넘 잘 어울려용)-보통후렌치파이(빠삭한 식감에 겉엔 꿀 안에는 잼이 들어 있는거 같아요),초코튀소(넘 달아용)-비추생각보다 소금빵은 별로더라구여 🥹밤스콘,소금빵"
2024.11.20.,5.0,역시 명란 바게트가 존맛탱~~ 맛도 맛이지만 임산부는 줄 없이 들어갈 수 있는 거 모르고 임산부랑 한참 기다렸네요 ㅠ.ㅠ 요즘 생긴 거라던데 너무 좋은 방안 같아서 좋습니다~
2024.11.18.,3.0,사람이..사람이 진짜 너무많음..평일 오전에 갔는데도 사람에 치여서 빵을 고를수가 없었음그냥 선물세트 두어개 집고 겨우 계산하고 나오는정도ㅎ줄서서 고르는게 아니라 그냥 시장통처럼 사람 사이로 지나가고 밀쳐가며 사야하기때문에 이런거 기 안빨리시는분만 가시길..
2024.11.18.,5.0,
2024.11.17.,5.0,
2024.11.17.,5.0,존맛 빵 줄은 길지만 그래도 일찍오면 줄 얼마없슴ㅎㅎ
2024.11.17.,5.0,주말에 줄서기 싫었는데...앞으로는 평일에만 가야겠네요 😀
2024.11.17.,5.0,
2024.11.17.,5.0,
2024.11.16.,5.0,
2024.11.16.,5.0,토요일 13시53분의 빵 라인업
2024.11.16.,5.0,
2024.11.15.,5.0,알밤시루 크게 기대 안했는데 적당히 달달하고 맛있어요 행복해요 영원하라 성심당
2024.11.15.,5.0,
2024.11.14.,5.0,
2024.11.14.,4.0,본점에 다있다고 생각해서 본점으로 갛는데 줄따라 가다보니 같은 빵종류가 반복되고 얼른고르고 후다닥 나오고보니 케잌은 다른곳으로 가야 한다고 해서 못 사고 왔어요
2024.11.14.,5.0,
2024.11.14.,5.0,
2024.11.14.,4.0,
2024.11.14.,5.0,말이 필요없는 최고의 빵집!
2024.11.14.,5.0,
2024.11.14.,5.0,
2024.11.14.,5.0,
2024.11.14.,5.0,
2024.11.14.,5.0,대기 줄만   조금  줄었으면  하는  마음  ㅎㅎ
2024.11.14.,5.0,
2024.11.14.,5.0,
2024.11.14.,5.0,웨이팅있긴하지만 금방 들어갈수있어요! 빵 종류도 엄청 많고 진짜 가격도 저렴하고 맛있어용ㅎㅎㅎ또 방문하겠습니다
2024.11.14.,5.0,흥미로움 대전에 왔으면 한 번 쯤 들려볼만함하지만 사람 너무 많을 때는 비추없는 제품도 많아서 롯백점이 나은듯
2024.11.14.,3.0,
2024.11.13.,5.0,
2024.11.13.,5.0,토욜 인파에 쓸려 빵을 담는게 녹록치 않지만 대전 가면 꼭 들러오는 곳. 최애는 예약 없이도 살 수 있는 순수롤. 좋은 재료로 만들어서 믿고 사먹습니다.
2024.11.13.,5.0,
2024.11.12.,1.0,대전사람들만 자부심 느끼는 빵집.솔직히 찾아가서 먹을맛이 아님. 수도권 외곽에 맛있는 빵집 훨 많음.  물론 가격이 저렴한거 인정. 사회적 선한영향력은 인정
2024.11.12.,5.0,
2024.11.11.,5.0,
2024.11.11.,5.0,나의 인생빵집
2024.11.11.,5.0,웨이팅은 빨리 줄어드나 빵고르는데 너무너무너무 정신없어요... 다들 조금만 배려하면 좋을텐데 왜이렇게 밀어대는건지ㅠㅠ 빵 저렴하고 맛있어요!! 드디어 가봐서 좋아요
2024.11.09.,5.0,가성비 좋고 맛있고 다양해서 좋음!주말엔 웨이팅이 너무 길어서 아쉽.
2024.11.07.,5.0,
2024.11.06.,5.0,
2024.11.05.,1.0,왜 맛잇다고 하는지 모르겠음. 맛없음
2024.11.05.,1.0,별로 동네 빵집. 맛없는 동네 빵집보다 못함.
2024.11.05.,5.0,말해뭐해 친절갑! 음식퀄리티갑! 대전 간다고 하면 주변에서 자기것도 몇 개 사와달라고 합니다ㅋㅋ 같은 빵인데 왜이리 맛난지 모르겠어요~
2024.11.02.,5.0,잘 먹었습니당
2024.11.02.,4.0,빵 맛은 최고!! 가격도 최고!!하지만 그만큼 사람이 정말 많습니다!!
2024.11.02.,5.0,맛있더라고요 가격도 괜찮고
2024.11.01.,5.0,
2024.11.01.,5.0,역시 본가는 다르다근데 사람이 너무 북적북적대서 조금 힘들지만빵은 너무 맛있어요동선은 좀 정리가 필요할듯
2024.10.31.,4.0,왛 호두파이 너무 달아요 진짜 너무 달아 설탕 시럽맛이에요. 케이크는 부드럽고 맛있었어요.
2024.10.31.,5.0,역시 성심당이 최고오전부터 붐벼서여전처럼 여유는 없지만주말에 먹을 샌드위치 사고문화원에서 커피와 스콘을 먹으며 잠시 쉬다주차요원의 친절한 인사를 받고돌아왔다사람이 하는 주차안내 !!!이게 참 정겹고 좋다성심당이 대전 은행동에 있어다행이다
2024.10.29.,5.0,괜히 성심당이 아님 🥖🥖🫶🏻🫶🏻
2024.10.29.,5.0,한 도시를 대표하는 빵집일만 하네요다 맛있고 싸고 다 좋아요
2024.10.27.,5.0,"This is undoubtedly the number 1 bakery in South Korea. The taste, environment,  vibes are all different. I am privileged enough to live nearby the main store and have a bite of products whenever I want.Keep in mind that inside is super busy and you have to wait in the line to get into.Highly recommend for bread lovers."
2024.10.26.,4.0,빵 싸다
2024.10.25.,5.0,
2024.10.23.,5.0,"역시 성심당은 성심당이다. 말이 필요 없습니다. 특히 가성비가 진짜 대단합니다... 깜짝 놀랄 정도랍니다하나 놀란 점이라면 제품명을 정확히는 모르지만  치즈케이크를 샀는데 살면서 먹어본 치즈케이크 중에 제일 맛있었습니다 진짜 무조건 구매해보세요ㅋㅋㅋ부추빵은 호불호 많이 갈려서 별로 추천하지는 않고 튀소, 고구마튀소, 초코튀소는 필수입니다 후렌치파이랑 작은메아리도 맛있어요.명란바게트는 매진되어서 사지는 못했지만 꼭 먹어보고 싶네요.빵 고를때 줄이 따로 없고 그냥 막 고를 수 있어서 가게 내부가 많이 복잡해요... 가게 내부 촬영할 수 없을 정도입니다. 줄을 좀 서서 고를 수 있는 시스템으로 바뀌면 덜 복잡하고 좋을 것 같아요결론 : 성심당은 성심당이다."
2024.10.23.,5.0,소문대로 가성비 또는 맛 모두가 만족합니다.   성심당은 프렌차이 점은 전국에 없나요.
2024.10.23.,4.0,가성비 좋아요
2024.10.23.,5.0,사람이 많아서 웨이팅 필수에 빵 고를 때도 정신 없으나.. 빵 먹어보면 재방문 의향 생김
2024.10.23.,3.0,하도 성심당 성심당 하길래 대전간김에 왕창 사왔지만…그냥 먹어봤으니 된 것 같다. 빵 종류 많고 확실히 저렴하긴 한 것 같은데 딱 그런 맛이랄까..? 특히 소금빵은 맛없어서 놀람. 요즘 워낙 맛있는 빵집 많아서 굳이 여기거 안 사먹을 듯
2024.10.23.,5.0,평점이 높을수밖에 없다는걸 직접 가보고 알게 되었다
2024.10.22.,5.0,빵 가격이 착하고 맛있어요!
2024.10.22.,5.0,
2024.10.21.,5.0,
2024.10.20.,5.0,빵은 맛있고 싸고 좋음 강추근데 질서 진심 최악임 왜 줄을 안서게 하는지 이해가 안됨. 부띠끄처럼 줄 서서 동선을 따라가게 해도 모자를판에 줄 서지 말고 막 움직이라고 하니까 빵도 엎어지고 뭉개지고 옆 사람 앞 사람 옷에 소스 다 묻고 머리카락 닿이고 난리부르스진심 주말에 압사당함사고나기 전에 제발 줄 서게 만드세요
2024.10.18.,5.0,"본점 방문장: 맛, 가격단: 주차"
2024.10.17.,5.0,대전갈때마다 가는곳 사람은 많지만 소금빵이 맛도리 그 외 빵은 사람없는 대전역점으로 갑니다
2024.10.16.,5.0,"대전 살고싶네요,,"
2024.10.14.,4.0,사람이 너무 많 아 . . . .  .
2024.10.13.,4.0,예약하면 줄 안서고 바로 픽업할 수 있어서 좋네요
2024.10.12.,5.0,대전 사람이 사는곳은 성심광역시🥖추천하는 빵: 보문산메아리 퀸블랙 명란바게트 작은메아리 오징어먹물방망이소세지빵도 안이 꽉차서 소시지좋아하면 ㄱㄱ 사진에 있는거 맛있었음
2024.10.11.,5.0,
2024.10.11.,5.0,맛도촣고 정갈하고 깔끔함
2024.10.10.,5.0,저녁시간인데도 빵 종류가 다양하게 많아서너무좋았어요~다들 너무 친절하시고 늦은시간까지 영업해주셔서감사합니당
2024.10.10.,5.0,"사람이 많아도 질서가 좋고, 웨이팅줄이 길어도 빨리빨리 들어갈 수 있어요. 도보1분거리에 포장한 빵 먹을 수 있는 5층짜리 건물이 있어요. 지하1층~3층까지 빵 먹어도 되고 자체 카페도 있으니 빵만 들고 오셔서 여기서 음료먹고 가면 좋을 것 같아요. 저는 카페가 같이 딸려있는 줄 모르고 밖에서 사왔어요ㅠㅠ.메론빵이 제일 맛있었고 퀸아망이 2등! 메론빵 정말정말 맛있으니 꼭 드시고 퀸아망도 씹을수록 고소한 게 정말 맛있었어요"
2024.10.10.,5.0,"평일 오전 내부에 사람이 굉장히 많았는데 밀치는 사람이나 언성 높이는 사람 하나 없이 서로 비켜주고 쟁반을 높이 들어주며 이동하는 모습이 인상 깊었음, 비가 살짝 오는 듯하다 금방 그쳤는데 그새 직원분들이 하얀 천막을 들고 오시는 모습을 보고 이래서 성심당 성심당 하는구나 싶었음"
2024.10.09.,4.0,
2024.10.09.,5.0,한글날 성심당 오전에 가니 20분정도 줄서면 되었어요~ 성심당은 어느지점이던지 직원분들도 참 친절하셔서 좋아요~~^^성심당가고싶어서 빵순이인 제가 초1딸과 7개월된 딸 아기랑 남표니데리고 무작정 ktx열차티켓 끊어서 첨으로 대전 갔는데가는곳마다 사람들이 친절하셔서 좋은 추억 가지고 집에왔어요♡
2024.10.09.,5.0,명란바게트 보문산메아리 추천고속도로 타고 지나가다가도 이것 때문에 대전 들리게됨. 이제 사람많아져서 대전 빵집 전체적으로 다맛있어서 탐험중
2024.10.09.,5.0,맛있지만 굳이 웨이팅해서 먹을 정도는 아님
2024.10.09.,5.0,이런 베이커리가 있어서 행복해요
2024.10.09.,5.0,주차장도 넓게 확보해놓은게 너무 좋아요.케잌부띠끄 앞억서는 양산도 대여해서 그늘속에 기다리게 해줘서 고마웠구요.빵값이 너무 저렴해서 깜짝놀랐네요.2.5배는 생각했는데 반값도 못 미치는거 같아요.섬심당 나들이는 즐거운 시간뿐이였어요.항상 번창하시고 행복하세요~
2024.10.09.,5.0,왜 빵집 GOAT인지 알게됨 너무 맛있고 가성비 좋음
2024.10.08.,3.0,
2024.10.08.,5.0,가성비는 말할것도 없고 친절하시고 맛도있고 집 근처면 매일 오고싶다
2024.10.08.,5.0,
2024.10.07.,5.0,
2024.10.06.,5.0,성심당 근처에 사는 사람들 부럽다..
2024.10.06.,5.0,빵 저렴하고 너무 맛있어요 역시 성심당😍 근데 웨이팅 진짜 지옥... 평일 오전 일찍이 답입니다ㅎ
2024.10.05.,4.0,"관광명소, 갓 만든 소금빵이 맛있음"
2024.10.04.,5.0,뭘 사든 최소한 실패는 안한다는 점에서 안정감을 줌개인적으로는 작은메아리가 제일 맛있었다
2024.10.04.,5.0,좋아요!!!
2024.10.04.,5.0,
2024.10.04.,5.0,우유고로케 & 부추빵 두가지를 먹으러 다시 대전에 가고싶다
2024.10.04.,3.0,
2024.10.03.,5.0,비오는 휴일에 갔는데 30분 정도 기다려서 들어갔어요안에 시장통처럼 정신 없어서 두 번은 못 갈 것 같아요그래도 싸고 맛있는 빵 팔아주셔서 감사합니다..!
2024.10.03.,4.0,"맛, 가격, 신선함 모두 아주 좋습니다. 대신 사람들 동선을 한방향으로 잡으면 회전도 질서도 더 좋을것같네요.An absolute great bakery innit?This place is packed so be careful."
2024.10.03.,4.0,맛있긴한데 가게 안에 사람들 개판. 질서가 없음. 두번은 못갈듯. 이리치이고 저리치임
2024.10.03.,5.0,최고다!줄 선 가치가 있다.
2024.10.03.,5.0,
2024.10.01.,5.0,사람이 굉장히 많았는데도 인원 통제가 잘 되었음.
2024.10.01.,5.0,맛도 좋고 가격도 저렴하고 성심당이 있는 대전시가 부럽다.
2024.09.30.,5.0,가성비좋고 맛있어요
2024.09.30.,3.0,대전하면 성심당 그러는데 나에겐 맛도 가성비도 그다지 거기에 사람이 너무 많아서 내가 뭘 사는지도 모르고 샀음 이건 백퍼 마켓팅의 승리임
2024.09.30.,4.0,
2024.09.30.,5.0,
2024.09.29.,5.0,근처 주차장 여러곳 할인권줘서 주차비 부담은 별로 없었어요. 줄은 길었지만 금방 빠져서 기다릴만했고 직원분들이 다들 친절하셔서 감사했었습니다. 빵값이 엄청 싸고 맛은 뭐 말할필요없이 맛있네요. 다들 왜 성심당 성심당하는지 알겠어요.
2024.09.29.,5.0,사람이 많아 기다리기힘들지만 빵맛은 좋네요
2024.09.29.,5.0,튀김소보로 사랑해요
2024.09.29.,5.0,눈물 맛있어요
2024.09.28.,5.0,
2024.09.28.,4.0,
2024.09.28.,3.0,
2024.09.27.,5.0,친절하구 인기가 넘 많아서 문제ㅠ
2024.09.26.,5.0,
2024.09.26.,5.0,바쁜 와중에도 다들 너무 친절하셔서 놀랐어요!!빵은 당연하게도 다 맛있습니다ㅋㅋ
2024.09.26.,5.0,웨이팅은 있지만팥빙수는 가성비
2024.09.25.,3.0,
2024.09.25.,5.0,대한민국 빵집의 성지이자 끝판왕 성심당 본점이다.빵의 퀄리티는 말할것도 없고 종류도 많으며 가격도 남는게 있나 싶을 정도로 싸다.손님들의 행렬로 마치 놀이기구 타러 간 거 마냥 긴 줄이 이어지지만 들어가는 속도가 빨라 성심당 안에 들어가는데는 그리 오랜 시간이 걸리지 않는다.나갈 때 양손 가득 빵을 한보따리씩 들고 나가지만 가격이 매우 저렴해 오히려 이득 본 거 같은 기분이 드는 곳.빵을 사서 위층에서 식사도 된다는데 시도해 보지 않아서 모르겠다.
2024.09.25.,5.0,사람은 많지만 친절하게 안내가 잘되서 좋았어요!
2024.09.25.,3.0,
2024.09.25.,5.0,"바로 옆 <성심당 케잌부띠끄> 보다는 대기줄이 훨씬 짧습니다. 여기도 회전율이 무지 빠르니, 생각보다 빠른 입장이 가능해요. 단지, 내부 들어가면, 자율 쇼핑이라, 매우 혼잡 합니다. (입구 좌측에, ""명란 바게뜨"" 가 중간중간 보충 되는데, 나오자마자 싹 다 집어가서, 잘 캐치 하셔야 돼요. ""튀김 소보루""는 계산대 쪽에 많이 비치되어있어, 다른 빵들 먼저 확보(?) 하시고, 마지막에 담으시길 추천해요~)""튀김 소보루""는, 말 그대로 소보루를 튀긴 건데, 전혀 기름진 맛이 없고, 단팥으로 보이는 속도 채워져 있으니, 개인적으로 좋아해서 가끔 먹는 <파리바게트> ""단팥크림빵"" 보다 비교 하는게 실례일 정도로 맛이 완벽 합니다. 5점 만점.""명란 바게뜨"" 외 다른 빵들도, 다 맛있습니다. 왜 대전에서만 판매하는 <성심당> 매출이, 전국 매장을 거느린 <파리바게트>와 그 외 프랜차이즈 보다 높은 지 이해가 되실 겁니다."
2024.09.25.,5.0,지나가다가.. 빵돌이는 아니지만.. 들어가서 보는 것이..진짜 사람도 많고.. 빵도 많고..
2024.09.24.,5.0,🥯🍞🥖🥨🥐🥪
2024.09.23.,5.0,
2024.09.23.,3.0,빵집으로서: 별 6개계산대 앞의 혼돈: 별 -1개그 혼돈을 잠재울 생각이 없음: 별 -2개
2024.09.20.,4.0,맛있고 가격도 가성비인데 주차 헬
2024.09.20.,4.0,
2024.09.18.,5.0,다 좋은데 사람이 너무 많긴 합니다🐱
2024.09.18.,1.0,빵은 저렴하고 맛있었는데 무화과빵에서 돌이나왔어요.이빨이 빠질뻔 다행이 문제는 없었지만 대량으로 만들다보니 돌도 들어가고 위생이 조금 취약한듯 합니다. 신경좀 써 주세요
2024.09.16.,5.0,성심당은 사랑이쥬♡
2024.09.16.,5.0,
2024.09.16.,5.0,줄은 한 3~400명은 됐으나 15분만에 구매완료 이용자 대부분이 굉장히 군더더기없이 나이스하게 구매하는 편이다.
2024.09.15.,5.0,"빵 대기시간 11분 정도 걸림, 양산 비치해둬서 너무 나이스, 밖에 안내직원은 더울 듯요 넥 선풍기라도"
2024.09.15.,5.0,
2024.09.14.,3.0,대전은 성심당이 관광지? 필수코스인건20년전이나 지금이나 변함이 없는듯그만큼 대전에 갈 곳이 적고덕분에 성심당은 더 유명해진거겠지처음간게 고딩때쯤인데 지금 더 유명해진 성심당성심당 자식들은 빵수저라는 우스갯소리도ㅎ
2024.09.14.,4.0,주차장 이름을 정확하게 알고 가세요
2024.09.13.,5.0,가성비 하나로 씹어먹는 곳부럽다 대전 사람들
2024.09.13.,5.0,
2024.09.12.,5.0,
2024.09.12.,4.0,주차가 곤란하다는점.주차는 성심당 문화원 이곳에가능한데주차대수가 적음 대중교통 이용추천
2024.09.11.,5.0,
2024.09.10.,5.0,대기가 힘들지만 줄서는것도 이젠 컨텐츠임서울빵가격에 비하면 여기는 천국이다
2024.09.10.,5.0,진짜 인근지역 사람들 다 빵봉투 들고다님..튀소 당일에 먹음 개맛있음.다음날먹으면 의미없드라
2024.09.10.,5.0,대전사람은 막상 잘 안가지만..ㅋㅋㅋ 뿌듯한 랜드마크 성심당 ^^*
2024.09.10.,5.0,두말하면 입아픈 곳대전 갈 일이 생기면 무조건 들렀다 가는 곳
2024.09.10.,5.0,성심당 최고 빵 최고사과 들어간 바게트랑 명란 바게트가 아른거려요.. 조만간 재방문갑니다
2024.09.09.,5.0,
2024.09.09.,3.0,
2024.09.08.,4.0,
2024.09.07.,5.0,
2024.09.07.,5.0,
2024.09.06.,5.0,
